django.utils.autoreload INFO 2025-02-21 19:38:51,507 autoreload 20648 692 Watching for file changes with StatReloader
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1739764108.2564747
django.utils.autoreload DEBUG 2025-02-21 19:38:52,743 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1739764107.6128442
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1739764225.0037515
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1739764108.0550797
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\zipfile\__init__.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1739764102.4439185
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1739764112.3950508
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\fields.py first seen with mtime 1739764224.8429155
django.utils.autoreload DEBUG 2025-02-21 19:38:52,744 autoreload 20648 692 File F:\python\env\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1739855756.351512
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1739764112.2377653
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1739764112.3434565
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\types.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1739764111.8223875
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\multiprocessing\queues.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,745 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\pkgutil.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\linecache.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1739764109.9545605
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\pprint.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File F:\python\env\Lib\site-packages\requests\compat.py first seen with mtime 1739855756.9547348
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\thread.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,746 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1739764112.1924496
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1739764112.189451
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1739764112.3650312
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1739764112.2562897
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\forms\renderers.py first seen with mtime 1739764112.2728038
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\importlib\readers.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,747 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1739764112.2202587
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\email\charset.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1739764225.010251
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\importlib\resources\_adapters.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\_base.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1739764225.0047464
django.utils.autoreload DEBUG 2025-02-21 19:38:52,748 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\template\base.py first seen with mtime 1739764112.3348336
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1739764112.2582886
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\ctypes\_endian.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\asyncio\mixins.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1739764108.054085
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1739764110.2906346
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\views\i18n.py first seen with mtime 1739764112.3910537
django.utils.autoreload DEBUG 2025-02-21 19:38:52,749 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\formats.py first seen with mtime 1739764112.373546
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1739764112.3985555
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\importlib\_abc.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File F:\python\env\Lib\site-packages\requests\__init__.py first seen with mtime 1739855756.9482284
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\contextvars.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\functional.py first seen with mtime 1739764112.3745456
django.utils.autoreload DEBUG 2025-02-21 19:38:52,750 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\_compat_pickle.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1739764112.39756
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1739764112.2497866
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\utils\hashable.py first seen with mtime 1739764112.3745456
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\apscheduler\job.py first seen with mtime 1740112938.25182
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\views\defaults.py first seen with mtime 1739764112.3910537
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\email\mime\message.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,751 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1739764109.9709785
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1739764112.2332616
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\urllib\request.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1739764102.441919
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1739764112.2597983
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\idna\idnadata.py first seen with mtime 1739855756.0467594
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1739764110.2891214
django.utils.autoreload DEBUG 2025-02-21 19:38:52,752 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1739764111.8764465
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\signal.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\wsgiref\simple_server.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\encodings\utf_8.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\http\cookies.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File F:\python\advocatediary\v1\helper.py first seen with mtime 1739762419.5099082
django.utils.autoreload DEBUG 2025-02-21 19:38:52,753 autoreload 20648 692 File F:\python\env\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1739855743.918936
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\files\utils.py first seen with mtime 1739764111.905749
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\urllib3\util\url.py first seen with mtime 1739855743.9250863
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1739764225.0107625
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1739764108.2604725
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1739764109.9601314
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\tempfile.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,754 autoreload 20648 692 File F:\python\env\Lib\site-packages\apscheduler\schedulers\blocking.py first seen with mtime 1740112938.268609
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\encodings\__init__.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1739764112.1914515
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\re\_casefix.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File F:\python\env\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1739764224.8374126
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1739764112.2652998
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\importlib\resources\__init__.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,755 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\DLLs\_hashlib.pyd first seen with mtime 1733239692.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File F:\python\env\Lib\site-packages\pytz\__init__.py first seen with mtime 1739855742.0347705
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\exceptions.py first seen with mtime 1739764111.794334
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\conf\__init__.py first seen with mtime 1739764107.295265
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\struct.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File F:\python\advocatediary\v1\dj_city.py first seen with mtime 1738476638.5728865
django.utils.autoreload DEBUG 2025-02-21 19:38:52,756 autoreload 20648 692 File F:\python\env\Lib\site-packages\urllib3\_version.py first seen with mtime 1739855743.8954506
django.utils.autoreload DEBUG 2025-02-21 19:38:52,757 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\wsgiref\util.py first seen with mtime 1733239650.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,757 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1739764111.9047492
django.utils.autoreload DEBUG 2025-02-21 19:38:52,757 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1739764112.0066595
django.utils.autoreload DEBUG 2025-02-21 19:38:52,757 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\template\library.py first seen with mtime 1739764112.3399515
django.utils.autoreload DEBUG 2025-02-21 19:38:52,757 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\html\parser.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\email\mime\base.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1739764108.0570781
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\admin\widgets.py first seen with mtime 1739764107.6243606
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1739764112.1957598
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\email\generator.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,758 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1739764108.4629908
django.utils.autoreload DEBUG 2025-02-21 19:38:52,759 autoreload 20648 692 File F:\python\advocatediary\advocatediary\settings_live.py first seen with mtime 1739762419.07276
django.utils.autoreload DEBUG 2025-02-21 19:38:52,759 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\platform.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,759 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\middleware\cache.py first seen with mtime 1739764112.3293233
django.utils.autoreload DEBUG 2025-02-21 19:38:52,759 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\importlib\resources\abc.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,759 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\core\validators.py first seen with mtime 1739764111.8218715
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File F:\python\env\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1739764102.4379222
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File F:\python\env\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1739764102.4509978
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File C:\Users\unipa\AppData\Local\Programs\Python\Python313\Lib\asyncio\proactor_events.py first seen with mtime 1733239648.0
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1739764110.2906346
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1739764109.9699788
django.utils.autoreload DEBUG 2025-02-21 19:38:52,760 autoreload 20648 692 File F:\python\env\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1739764112.3469622
django.utils.autoreload DEBUG 2025-02-21 19:38:52,761 autoreload 20648 692 File F:\python\advocatediary\advocatediary\admin_views.py first seen with mtime 1738476638.217883
